"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"Gekkota","pedro",0,2,2
"Gekkota","plana cays",0,1,1
"Gekkota","puerto rico",3,10,13
"Gekkota","redonda",1,1,2
"Gekkota","roatan",1,3,4
"Gekkota","roques",1,4,5
"Gekkota","rum cay",0,3,3
"Gekkota","saba",1,3,4
"Gekkota","samana",0,1,1
"Gekkota","san andres",0,1,1
"Gekkota","san salvador",1,1,2
"Gekkota","sombrero",0,1,1
"Gekkota","st christopher",1,3,4
"Gekkota","st croix",1,3,4
"Gekkota","st lucia",2,4,6
"Gekkota","st vincent",1,2,3
"Gekkota","swan",0,3,3
"Gekkota","testigos",0,2,2
"Gekkota","tobago",1,5,6
"Gekkota","tortuga",0,1,1
"Gekkota","trinidad",2,6,8
"Gekkota","turks",1,1,2
"Gekkota","turneffe",0,1,1
"Gekkota","utila",1,6,7
"Gymnophthalmoidea","anguilla",1,2,3
"Gymnophthalmoidea","antigua",1,1,2
"Gymnophthalmoidea","aruba",2,4,6
"Gymnophthalmoidea","aves",0,0,0
"Gymnophthalmoidea","barbados",2,1,3
"Gymnophthalmoidea","bermuda",0,0,0
"Gymnophthalmoidea","blanquilla",0,3,3
"Gymnophthalmoidea","bonaire",0,2,2
"Gymnophthalmoidea","caicos",0,0,0
"Gymnophthalmoidea","cay sal",0,0,0
"Gymnophthalmoidea","cayman brac",0,0,0
"Gymnophthalmoidea","chinchorro",0,1,1
"Gymnophthalmoidea","conception",0,0,0
"Gymnophthalmoidea","corn",0,1,1
"Gymnophthalmoidea","cozumel",0,1,1
"Gymnophthalmoidea","crooked acklins",0,0,0
"Gymnophthalmoidea","cuba",1,1,2
"Gymnophthalmoidea","curacao",0,2,2
"Gymnophthalmoidea","desecheo",0,1,1
"Gymnophthalmoidea","dominica",1,2,3
"Gymnophthalmoidea","glover",0,0,0
"Gymnophthalmoidea","grand cayman",0,0,0
"Gymnophthalmoidea","great bahama",0,2,2
"Gymnophthalmoidea","great inagua",0,1,1
"Gymnophthalmoidea","grenada",1,4,5
"Gymnophthalmoidea","guadeloupe",2,2,4
"Gymnophthalmoidea","guanaja",0,1,1
"Gymnophthalmoidea","hispaniola",0,3,3
"Gymnophthalmoidea","iles des saintes",1,1,2
"Gymnophthalmoidea","ilsa de providencia",0,3,3
"Gymnophthalmoidea","jamaica",0,1,1
"Gymnophthalmoidea","klein curacao",0,2,2
"Gymnophthalmoidea","las aves",0,4,4
"Gymnophthalmoidea","lighthouse atoll",0,0,0
"Gymnophthalmoidea","little bahama",0,0,0
"Gymnophthalmoidea","little cayman",0,0,0
"Gymnophthalmoidea","little inagua",0,1,1
"Gymnophthalmoidea","marie galante",1,1,2
"Gymnophthalmoidea","martinique",1,1,2
"Gymnophthalmoidea","mayaguana",0,0,0
"Gymnophthalmoidea","mira por vos",0,0,0
"Gymnophthalmoidea","mona",0,1,1
"Gymnophthalmoidea","monito",0,0,0
"Gymnophthalmoidea","monjes",0,0,0
"Gymnophthalmoidea","montserrat",1,1,2
"Gymnophthalmoidea","morant",0,0,0
"Gymnophthalmoidea","navassa",0,0,0
"Gymnophthalmoidea","orchila",0,2,2
"Gymnophthalmoidea","pedro",0,0,0
"Gymnophthalmoidea","plana cays",0,0,0
"Gymnophthalmoidea","puerto rico",1,2,3
"Gymnophthalmoidea","redonda",0,1,1
"Gymnophthalmoidea","roatan",0,2,2
"Gymnophthalmoidea","roques",0,1,1
"Gymnophthalmoidea","rum cay",0,0,0
"Gymnophthalmoidea","saba",0,0,0
"Gymnophthalmoidea","samana",0,0,0
"Gymnophthalmoidea","san andres",0,2,2
"Gymnophthalmoidea","san salvador",0,0,0
"Gymnophthalmoidea","sombrero",0,1,1
"Gymnophthalmoidea","st christopher",1,1,2
"Gymnophthalmoidea","st croix",1,1,2
"Gymnophthalmoidea","st lucia",0,2,2
"Gymnophthalmoidea","st vincent",1,1,2
"Gymnophthalmoidea","swan",0,3,3
"Gymnophthalmoidea","testigos",0,3,3
"Gymnophthalmoidea","tobago",0,7,7
"Gymnophthalmoidea","tortuga",0,2,2
"Gymnophthalmoidea","trinidad",0,8,8
"Gymnophthalmoidea","turks",0,0,0
"Gymnophthalmoidea","turneffe",0,0,0
"Gymnophthalmoidea","utila",0,2,2
"Typhlopidae","anguilla",1,1,2
"Typhlopidae","antigua",0,1,1
"Typhlopidae","aruba",1,0,1
"Typhlopidae","aves",0,0,0
"Typhlopidae","barbados",1,0,1
"Typhlopidae","bermuda",0,0,0
"Typhlopidae","blanquilla",0,0,0
"Typhlopidae","bonaire",0,0,0
"Typhlopidae","caicos",1,1,2
"Typhlopidae","cay sal",0,1,1
"Typhlopidae","cayman brac",0,1,1
"Typhlopidae","chinchorro",0,0,0
"Typhlopidae","conception",0,0,0
"Typhlopidae","corn",0,0,0
"Typhlopidae","cozumel",0,0,0
"Typhlopidae","crooked acklins",0,0,0
"Typhlopidae","cuba",1,12,13
"Typhlopidae","curacao",1,0,1
"Typhlopidae","desecheo",0,0,0
"Typhlopidae","dominica",0,1,1
"Typhlopidae","glover",0,0,0
"Typhlopidae","grand cayman",1,1,2
"Typhlopidae","great bahama",1,2,3
"Typhlopidae","great inagua",0,1,1
"Typhlopidae","grenada",0,1,1
"Typhlopidae","guadeloupe",1,1,2
"Typhlopidae","guanaja",0,0,0
"Typhlopidae","hispaniola",0,13,13
"Typhlopidae","iles des saintes",0,0,0
"Typhlopidae","ilsa de providencia",0,0,0
"Typhlopidae","jamaica",0,1,1
"Typhlopidae","klein curacao",0,0,0
"Typhlopidae","las aves",0,0,0
"Typhlopidae","lighthouse atoll",0,0,0
"Typhlopidae","little bahama",1,1,2
